COUNTY,GRAD_RATE,ATT_RATE,AVG_ACT,TOT_REV_PER_PUPIL,AVG_TEACHER_SALARY,AVG_PRINCIPAL_SALARY,CCR
Adair,97.3,94.5,18.2,12833,47775,77686,70.6
Allen,91.6,94.2,19.6,14605,49742,78032,50.7
Anderson,97.8,93.9,20,13370,48122,85958,69.6
Ballard,92.2,95.2,19,13488,47502,87098,83
Barren,89.2,94.9,19.5,16540,50971,86160,75.2
Bath,91.4,93.4,18.7,15534,48553,78141,53.7
Bell,95.4,92.3,18.9,12951,48715,69378,64.9
Boone,95,95.8,21.3,13954,52927,99479,64.6
Bourbon,91.3,94.9,19.9,11868,46618,82146,69.2
Boyd,96.2,93.7,19,14737,46979,73759,63.1
Boyle,96.9,95.7,22.4,12545,49663,87955,71
Bracken,94.2,95.6,19.4,11219,47891,76297,70.2
Breathitt,84.6,93.9,17.3,13194,53315,81522,78.3
Breckinridge,93.4,94.1,18.8,19455,50600,80336,65.9
Bullitt,90.3,95,19.2,12708,53115,92577,89.5
Butler,91.5,93.9,19.1,11181,47751,73924,65.6
Caldwell,94.3,94.8,19,10420,47241,82245,74.4
Calloway,95,96,20,11440,51890,84688,69.8
Campbell,97.3,95.7,21.6,13769,50657,92184,70.1
Carlisle,93.5,96,20.2,17062,45052,76916,81.4
Carroll,97.6,93.9,18.9,14821,48429,93189,59
Carter,99.5,93.9,19.3,11633,47870,70212,78.8
Casey,98.7,95.2,19.1,15202,46812,71271,77.3
Christian,90.6,94.6,18.5,11619,48148,89299,66.2
Clark,96.7,93.9,19.7,14455,47930,84079,93.4
Clay,78.5,90.8,18.4,13149,48939,68839,68.8
Clinton,97.7,93.2,18.3,12563,49316,76220,79.7
Crittenden,82.8,95.1,19.5,11275,45941,75474,75.6
Cumberland,98.5,94.9,19,13080,46198,77362,65.2
Daviess,90.2,95,20.6,12297,52206,97417,68.4
Edmonson,94,93.8,18.4,12437,49551,78042,71.1
Elliott,97.5,93.5,17.5,14894,46514,61850,39.8
Estill,95.1,94.1,18.7,11974,49511,77369,72
Fayette,84.5,94.5,21,13926,58915,108609,59.2
Fleming,94.9,94.7,18.6,12459,47921,73471,69.8
Floyd,95.2,95.1,19.1,14963,49538,82145,75.7
Franklin,86.9,94.9,19.9,11796,49854,92051,54.8
Fulton,97.3,94.9,18.9,16250,46279,79625,88.2
Gallatin,95,94.2,21.3,14031,47117,81925,69.1
Garrard,93.8,94.3,18.6,13240,47764,81882,69.7
Grant,88.5,94.4,19.6,12407,48062,86137,60.8
Graves,92.1,96.2,20.1,11440,49197,79810,76.6
Grayson,85.2,94.4,19.6,11473,49305,88137,58.8
Green,95.6,96.2,19.8,16082,47319,75512,70.8
Greenup,96.5,94.2,19.1,11740,47281,79406,87.9
Hancock,95.1,94.9,19.9,12296,50244,76053,60.9
Hardin,90.1,94.7,20.1,13032,52496,91106,66.8
Harlan,94.8,90,19.1,14229,47472,80141,77.9
Harrison,91.8,94.5,20,12432,48347,85779,61.4
Hart,96.7,93.8,18.5,28586,49917,82544,73.1
Henderson,89.7,94.8,19.7,14683,48672,88251,75.6
Henry,94.1,94.9,18.8,11773,48170,83770,83.5
Hickman,97.8,96.5,20.9,15731,47668,79897,86.7
Hopkins,86.7,94.6,20,11917,46469,85919,75.3
Jackson,89.4,91.6,18.3,14718,49502,74150,75.8
Jefferson,80.6,93.6,19.1,15342,62225,119143,57.1
Jessamine,90.9,94.5,20.2,12377,48070,99255,71.3
Johnson,96.7,92.6,19.4,12212,51187,80924,43.5
Kenton,91.7,95.8,21.1,11714,54034,107292,63.2
Knott,97.5,91.7,18.6,12938,50809,71653,81.7
Knox,93.2,91.3,17.5,13443,47854,72106,75.2
Larue,98.9,95.1,20.9,13158,53672,89169,67.9
Laurel,84.1,93.1,20.1,12014,50954,78365,59
Lawrence,92.3,93.7,18.8,11527,46738,77016,65
Lee,95.5,92.9,19.3,14141,50554,75363,71
Leslie,98.4,92.5,19.9,13366,49485,79710,75.8
Letcher,98.6,92.1,18.2,13061,48962,73727,72
Lewis,99.4,93.7,19.4,13438,48010,78501,69.2
Lincoln,93.1,94.5,19.4,12650,47950,72646,73.6
Livingston,92.8,94.5,19.4,14762,49345,83176,75.7
Logan,88.7,94.7,20.3,16543,47329,85879,71.7
Lyon,98.4,95.7,20.8,11101,48167,80847,83.1
Madison,95,94.4,20.6,13835,50182,80428,72.9
Magoffin,93.9,90.4,18.2,15134,49475,76639,71.1
Marion,92.8,94.7,19.4,11850,50916,78942,70.9
Marshall,93.3,95,20.4,11610,51787,84634,63.5
Martin,98.3,92.9,18.7,32758,47845,77949,68.1
Mason,94,94.1,19.1,11936,52921,89696,73.3
McCracken,93.2,95.6,20.9,11417,52313,89729,58
McCreary,91.8,93.3,18.8,13333,50300,77812,58.8
McLean,92.2,93.7,19.6,12151,44082,75330,77
Meade,94.9,94.8,19.8,14837,52136,86612,66
Menifee,97.2,94.4,19,12542,45644,68363,63.2
Mercer,95.5,95.4,19.2,12284,51876,84453,72.4
Metcalfe,94.4,92.8,18.3,13886,48926,82508,51.6
Monroe,98.6,95,18.5,13491,46306,76318,93.4
Montgomery,92.3,93.3,19.1,11746,47462,89580,70.9
Morgan,93,93,18.6,29896,49610,68495,73.4
Muhlenberg,88.1,93.7,19.3,15863,47514,77444,76.4
Nelson,94.5,94.3,20.1,14809,50675,85721,72.8
Nicholas,96.8,93.9,18.7,12554,46404,77389,52.1
Ohio,92.8,93.7,19.6,11921,49110,80915,78.7
Oldham,96.3,96.2,22.2,16050,51287,89380,75.9
Owen,94.8,94.9,18.8,18478,46366,93540,48.8
Owsley,85.5,91.9,18,16960,51272,81153,67.3
Pendleton,94.9,95,19.1,12609,49085,79971,59.6
Perry,94.5,92.4,18.8,13610,49805,76476,78.9
Pike,93.8,94.6,19.3,15381,52509,90474,71.2
Powell,87.7,92.6,18.8,13953,47959,76656,68.6
Pulaski,98.1,94.6,20.1,11725,49264,83808,82.8
Robertson,100,96.4,17.7,18367,48703,69989,85.2
Rockcastle,96.8,93.8,18.8,11631,49906,79648,83.5
Rowan,96.8,94.2,19.3,16119,49738,79174,65.9
Russell,96.8,94.8,19.6,11918,49903,79583,72
Scott,92,94.8,20.7,13520,50822,87063,56.9
Shelby,93.4,95.4,20.1,19184,51568,98010,81.4
Simpson,91.1,94.7,20,11951,48321,87232,83.9
Spencer,94.7,94.8,19.8,11250,52167,93599,68
Taylor,97.1,95.1,19.7,13527,51412,83621,66.1
Todd,98.5,94.3,18.5,12733,46353,79642,47.1
Trigg,91.5,94.7,19.2,12386,49789,89338,72.8
Trimble,93.3,93.7,18.4,12152,51328,80226,65.1
Union,91.4,94.3,18.8,12496,45761,87640,59.7
Warren,95.1,95.3,20.9,10989,47685,86358,69.4
Washington,97.7,94.2,17.7,14053,48269,82953,56.6
Wayne,93.4,93.4,17.8,12695,50351,77722,83
Webster,88.5,94.3,19.4,16238,45339,77473,80.6
Whitley,92.9,93.1,18.9,12823,51724,81678,52.4
Wolfe,93,93.7,17.8,13819,51762,75896,56.2
Woodford,96.9,95.1,22.4,11695,51762,95146,80.5
