SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,FINANCE_TYPE,FINANCE_LABEL,FINANCE_VALUE,FINANCE_RANK,COOP,COOP_CODE
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,SEEK Average Daily Attendance (SEEK ADA),"2,395.65",73,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,Average Daily Membership (ADM),"2,439.34",76,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,Average Daily Attendance (ADA) no adjustments,"2,305.39",75,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,Fund Balance,"$3,255,948",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,Fund Balance Percentage,17.32%,101,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,4% or Above Adopted Rate,No,,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,FTE Certified Staff,207.0,70,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,FTE Certified Staff - Teachers,177.0,67,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,FTE Classified Staff,175.0,78,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,Percent of Salaries and Benefits to Total Expenditures,82.91%,129,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,FINANCIAL SUMMARY,Bonding Capacity to Revenue Ratio,,1,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,State Revenue,"$19,439,706",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue,"$572,485",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Federal Revenue,"$4,343,504",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Local Revenue,"$5,229,118",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Total Revenue,"$29,584,813",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Total Revenue per Pupil,"$12,833",97,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Federal Revenue per Pupil,"$1,884",60,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Local Revenue per Pupil,"$2,268",123,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,State Revenue per Pupil,"$8,432",45,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Capital Outlay and Other Revenue per Pupil,$248,90,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Transportation,"$1,975,622",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Student Support,"$701,700",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Total Expenditures,"$29,615,539",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Administration,"$2,539,834",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Operations and Maintenance,"$2,399,026",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Enterprise Operations,"$2,183,722",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Instruction,"$16,601,658",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Instructional Staff Support,"$681,072",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Capital Outlay and Debt,"$2,532,906",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Total Expenditures per Pupil,"$12,846",102,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Student Support per Pupil,$304,160,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Transportation per Pupil,$857,39,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Administration per Pupil,"$1,102",122,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Capital Outlay and Debt per Pupil,"$1,099",121,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Enterprise Operations per Pupil,$947,68,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Instruction per Pupil,"$7,201",26,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Instructional Staff Support per Pupil,$295,148,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Expenditures on Operations and Maintenance per Pupil,"$1,041",66,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,REVENUES AND EXPENDITURES,Percent of Administrative to Total Expenditures,8.6%,116,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SALARIES,Average Teacher Salary,"$47,775",123,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SALARIES,Average Principal Salary,"$77,686",130,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SALARIES,Total Substitute Teacher Expenditures,"$345,636",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SALARIES,Substitute Teacher Expenditures Per Pupil,$150.00,11,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Net General Fund SEEK,"$11,849,256",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Capital Outlay,"$239,565",,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Net General Fund SEEK per Pupil,"$4,946",55,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District---,001,,,SEEK,Building Fund - State,"$555,101",,GRREC,902
