SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SCH_TYPE,LOW_GRADE,HIGH_GRADE,TITLE1_STATUS,MEMBERSHIP,CONTACT_NAME,ADDRESS,ADDRESS2,PO_BOX,CITY,STATE,ZIPCODE,PHONE,FAX,LATITUDE,LONGITUDE,COOP,COOP_CODE
20162017,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,A1,Preschool,5th,Title 1 Eligible - Schoolwide School,593,Steve Burton,870 Indian Dr,,,Columbia,KY,42728,(270) 384-0077,(270) 384-0079,37.111644,-85.329785,GRREC,902
20162017,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,A1,9th,12th,Title 1 Eligible - Schoolwide School,772,Troy Young,526 Indian Dr,,,Columbia,KY,42728,(270) 384-2751,(270) 384-6900,37.107858,-85.328527,GRREC,902
20162017,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,A1,6th,8th,Title 1 Eligible - Schoolwide School,591,Mrs. Alma Rich,322 General John Adair Dr,,,Columbia,KY,42728,(270) 384-5308,(270) 384-2168,37.103889,-85.324549,GRREC,902
20162017,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,A1,Entry,2nd,Title 1 Eligible - Schoolwide School,579,Patricia Jones,158 Col. Casey Dr,,,Columbia,KY,42728,(270) 384-3367,(270) 384-6668,37.107140767,-85.332948732,GRREC,902
20162017,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,A6,5th,12th,Not a Title 1 School,25,Wesley Irvin,401 Appleby Dr,,,Columbia,KY,42728,(270) 384-0811,(270) 384-2122,37.085407114,-85.305224462,GRREC,902
20162017,001,ADAIR,001,Adair County,,---District Total---,001,,,,K,12th,,"2,560",Dr. Pamela Stephens,1204 Greensburg St,,,Columbia,KY,42728,(270) 384-2476,(270) 384-5841,37.105343,-85.322045,GRREC,902
20162017,002,ALLEN,005,Allen County,901,Allen County Career and Technical Center,005901,002005901,210007002061,A2,9th,12th,Not a Title 1 School,362,Joseph Cosby,1585 Bowling Green Road,,,Scottsville,KY,42164,(270) 622-4711,,36.7542,-86.217567,GRREC,902
20162017,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,A1,4th,6th,Title 1 Eligible - Schoolwide School,703,Mr. David Holland,720 Oliver St,,,Scottsville,KY,42164,(270) 618-8200,(270) 618-8205,36.749177,-86.218524,GRREC,902
20162017,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,A1,Preschool,3rd,Title 1 Eligible - Schoolwide School,918,Timothy Wilson,721 New Gallatin Rd,,,Scottsville,KY,42164,(270) 618-7200,(270) 618-7206,36.746802,-86.216972,GRREC,902
20162017,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,A1,9th,12th,Title 1 Eligible - Schoolwide School,893,Joseph Cosby,1545 Bowling Green Rd,,,Scottsville,KY,42164,(270) 622-4119,(270) 622-5882,36.753959,-86.217027,GRREC,902
20162017,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,A1,7th,8th,Title 1 Eligible - Schoolwide School,434,Melissa Blair Towery,201 New Gallatin Rd,,,Scottsville,KY,42164,(270) 622-7140,(270) 622-4629,36.753125,-86.214432,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District Total---,005,,,,K,12th,,"2,948",Mr. Randall Jackson,570 Oliver St,,,Scottsville,KY,42164,(270) 618-3181,(270) 618-3185,36.742802,-86.218224,GRREC,902
